Player,Team,Year Signed,Length of Contract,Value,APY,Guaranteed Money,APY as % of Salary Cap,Inflated Value,Inflated APY,Inflated Guaranteed
Jeremiah Gemmel,Broncos,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Anthony Hines III,Rams,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Aaron Donkor,Seahawks,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Tuf Borland,Vikings,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Connor Strachan,Texans,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
DeMarquis Gates,Bears,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Joel Dublanko,Seahawks,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Elijah Sullivan,Jaguars,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
Omari Cobb,Giants,2022,1,"712,500.00","712,500.00","7,500.00",0.00,"874,027.00","874,027.00","9,200.00"
Christian Elliss,Patriots,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Chandler Wooten,Panthers,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
J.J. Russell,Buccaneers,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
DeMarquis Gates,Bears,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Cameron McGrone,Colts,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Jack Cochrane,Chiefs,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Christian Elliss,Eagles,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Jack Gibbens,Titans,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
JaCoby Stevens,Eagles,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Vi Jones,Seahawks,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Christian Sam,Cowboys,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Nephi Sewell,Saints,2022,2,"1,575,000.00","787,500.00",0.00,0.00,"1,932,061.00","966,030.00",0.00
Ledarius Mack,Bears,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Curtis Robinson,49ers,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Willie Harvey,Browns,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Ladarius Hamilton,Packers,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Jonas Griffith,Broncos,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Anthony Pittman,Lions,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Rashad Smith,Falcons,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Dorian Etheridge,Falcons,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Clay Johnston,Bengals,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Dicaprio Bootle,Chiefs,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Andre Mintze,Vikings,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Jon Rhattigan,Seahawks,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Tavante Beckett,Lions,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Tegray Scales,Bengals,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Milo Eifler,Commanders,2022,1,"825,000.00","825,000.00",0.00,0.00,"1,012,032.00","1,012,032.00",0.00
Christian Albright,Bears,2022,3,"2,560,000.00","853,333.00",0.00,0.00,"3,140,365.00","1,046,788.00",0.00
William Kwenkeu,Vikings,2022,3,"2,560,000.00","853,333.00",0.00,0.00,"3,140,365.00","1,046,788.00",0.00
James Skalski,Colts,2022,3,"2,560,000.00","853,333.00","12,000.00",0.00,"3,140,365.00","1,046,788.00","14,720.00"
Nate Wieland,Patriots,2022,3,"2,560,000.00","853,333.00",0.00,0.00,"3,140,365.00","1,046,788.00",0.00
Jack Gibbens,Titans,2022,3,"2,561,000.00","853,667.00","1,000.00",0.00,"3,141,592.00","1,047,198.00","1,227.00"
Bryce Notree,Commanders,2022,3,"2,561,500.00","853,833.00","1,500.00",0.00,"3,142,205.00","1,047,401.00","1,840.00"
Caliph Brice,Packers,2022,3,"2,562,000.00","854,000.00","2,000.00",0.00,"3,142,818.00","1,047,606.00","2,453.00"
Jaylan Alexander,Bears,2022,3,"2,562,000.00","854,000.00","2,000.00",0.00,"3,142,818.00","1,047,606.00","2,453.00"
Jordan Young,Buccaneers,2022,3,"2,562,500.00","854,167.00","2,500.00",0.00,"3,143,432.00","1,047,811.00","3,067.00"
Kuony Deng,Falcons,2022,3,"2,563,000.00","854,333.00","53,000.00",0.00,"3,144,045.00","1,048,015.00","65,015.00"
Segun Olubi,49ers,2022,3,"2,563,000.00","854,333.00","3,000.00",0.00,"3,144,045.00","1,048,015.00","3,680.00"
